姓名,性别,年龄,称号,背景故事
甄嬛,女,20,莞嫔,原名甄玉嬛，嫌玉字俗气而改名甄嬛，为汉人甄远道之女，后被雍正赐姓钮祜禄氏，抬旗为满洲上三旗，获名“钮祜禄·甄嬛”。同沈眉庄、安陵容参加选秀，因容貌酷似纯元皇后而被选中。入宫后面对华妃的步步紧逼，沈眉庄被冤、安陵容变心，从偏安一隅的青涩少女变成了能引起血雨腥风的宫斗老手。雍正发现年氏一族的野心后令其父甄远道剪除，甄嬛也于后宫中用她的连环巧计帮皇帝解决政敌，故而深得雍正爱待。几经周折，终于斗垮了嚣张跋扈的华妃。甄嬛封妃时遭皇后宜修暗算，被皇上嫌弃，生下女儿胧月后心灰意冷，自请出宫为尼。然得果郡王爱慕，二人相爱，得知果郡王死讯后立刻设计与雍正再遇，风光回宫。此后甄父冤案平反、甄氏复起，她也生下双生子，在滴血验亲等各种阴谋中躲过宜修的暗害，最后以牺牲自己亲生胎儿的方式扳倒了幕后黑手的皇后。但雍正又逼甄嬛毒杀允礼，以测试甄嬛真心，并让已经生产过孩子的甄嬛去准格尔和亲。甄嬛遂视皇帝为最该毁灭的对象，大结局道尽“人类的一切争斗，皆因统治者的不公不义而起”，并毒杀雍正。四阿哥弘历登基为乾隆，甄嬛被尊为圣母皇太后，权倾朝野，在如懿传中安度晚年。
甄嬛,女,30,熹贵妃,
皇上,男,,雍正帝,清朝第五代皇帝，因原为第四位皇子，又被甄嬛和纯元皇后称作四郎。寡恩薄情，敏感多疑，心狠手辣，城府极深。深爱纯元皇后。最初只将甄嬛当作纯元皇后替身以此慰藉，故赐号“莞”，与纯元皇后小名“菀菀”同音。甄嬛离宫后方才醒悟自己实为真心深爱甄嬛。晚年听信道士之言，陆续服用许多掺有硫黄与水银的丹药，又被叶澜依以朱砂与迷情香催化毒性、日益虚弱，因甄嬛说出孙答应私通牵动心中阴影大怒而加重病情。最后在叶澜依喂其服下伪装成丹药的毒药后又从甄嬛口中得知静和公主的身世真相，终在急火攻心下气死，死不瞑目（第76集）。为三阿哥弘时、四阿哥弘历、胧月、温宜公主生父。
皇后,女,,景仁宫娘娘,
华妃,女,,华贵妃,
沈眉庄,女,,沈贵人,
安陵容,女,,安贵人,
果郡王,男,,爱新觉罗·允礼,
温实初,男,,太医,
甄远道,男,,,
胧月公主,女,,,
云辛萝,女,,甄府夫人,
年羹尧,男,,,
静和公主,女,1,,
淳常在,女,,方淳意,
